AreaCode,AreaName,CategoryAttribute,Denominator,Factor,HighestPriorityNotificationType,IndicatorCode,IndicatorName,IndicatorShortName,LowerConfidenceLimit,MetricCategoryName,MetricCategoryTypeName,NotificationCount,Numerator,TimePeriodName,UpperConfidenceLimit,Value,ValueNote
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Persons,84320,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),7.43,2,Deprivation quintile,0,6415,To June 2024,7.79,7.61,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Persons,163840,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),7.87,3,Deprivation quintile,0,13110,To June 2024,8.13,8,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Persons,193045,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),8.31,4,Deprivation quintile,0,16280,To June 2024,8.56,8.43,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Persons,231240,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),6.65,5 - least deprived,Deprivation quintile,0,15610,To June 2024,6.85,6.75,
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Female,,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),4.52,Female,Sex - Age Standardised,0,,To June 2024,4.64,4.58,Numerators and Denominators are not provided for Age Standardisation.
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Male,,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),8.42,Male,Sex - Age Standardised,0,,To June 2024,8.61,8.52,Numerators and Denominators are not provided for Age Standardisation.
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Persons,,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),6.39,Persons,Sex - Age Standardised,0,,To June 2024,6.5,6.44,Numerators and Denominators are not provided for Age Standardisation.
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Persons,,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),8.44,1 - most deprived,Deprivation quintile - Age Standardised,0,,To June 2024,9.03,8.73,Numerators and Denominators are not provided for Age Standardisation.
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Persons,,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),7.61,2,Deprivation quintile - Age Standardised,0,,To June 2024,7.99,7.8,Numerators and Denominators are not provided for Age Standardisation.
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Persons,,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),6.76,3,Deprivation quintile - Age Standardised,0,,To June 2024,7,6.88,Numerators and Denominators are not provided for Age Standardisation.
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Persons,,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),6.24,4,Deprivation quintile - Age Standardised,0,,To June 2024,6.43,6.33,Numerators and Denominators are not provided for Age Standardisation.
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Persons,,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),5.57,5 - least deprived,Deprivation quintile - Age Standardised,0,,To June 2024,5.74,5.65,Numerators and Denominators are not provided for Age Standardisation.
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Persons,858885,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),5.5,Persons,Sex,0,47665,To June 2024,5.6,5.55,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Female,426885,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),4.19,Female,Sex,0,18160,To June 2024,4.31,4.25,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Male,431995,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),6.76,Male,Sex,0,29505,To June 2024,6.91,6.83,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Male,172265,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),0.24,18-39,Age group,0,450,To June 2024,0.29,0.26,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Female,167040,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),0.16,18-39,Age group,0,290,To June 2024,0.19,0.17,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Persons,339305,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),0.2,18-39,Age group,0,745,To June 2024,0.24,0.22,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Male,153825,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),3.54,40-59,Age group,0,5590,To June 2024,3.73,3.63,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Female,142500,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),1.76,40-59,Age group,0,2605,To June 2024,1.9,1.83,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Persons,296325,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),2.71,40-59,Age group,0,8190,To June 2024,2.82,2.76,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Male,87925,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),18.55,60-79,Age group,0,16535,To June 2024,19.07,18.81,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Female,92610,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),9.02,60-79,Age group,0,8525,To June 2024,9.39,9.2,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Persons,180535,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),13.72,60-79,Age group,0,25060,To June 2024,14.04,13.88,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Male,17985,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),37.82,80+,Age group,0,6930,To June 2024,39.24,38.53,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Female,24735,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),26.7,80+,Age group,0,6740,To June 2024,27.81,27.25,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Persons,42720,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),31.56,80+,Age group,0,13670,To June 2024,32.44,32,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Persons,106325,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),5.3,1 - most deprived,Deprivation quintile,0,5775,To June 2024,5.57,5.43,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Persons,161905,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),5.56,2,Deprivation quintile,0,9175,To June 2024,5.78,5.67,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Persons,141610,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),6.39,3,Deprivation quintile,0,9235,To June 2024,6.65,6.52,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Persons,164910,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),7.32,4,Deprivation quintile,0,12280,To June 2024,7.57,7.45,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Persons,166755,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),6.78,5 - least deprived,Deprivation quintile,0,11510,To June 2024,7.02,6.9,
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Female,,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),4.68,Female,Sex - Age Standardised,0,,To June 2024,4.82,4.75,Numerators and Denominators are not provided for Age Standardisation.
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Male,,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),8.61,Male,Sex - Age Standardised,0,,To June 2024,8.81,8.71,Numerators and Denominators are not provided for Age Standardisation.
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Persons,,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),6.58,Persons,Sex - Age Standardised,0,,To June 2024,6.7,6.64,Numerators and Denominators are not provided for Age Standardisation.
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Persons,,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),7.89,1 - most deprived,Deprivation quintile - Age Standardised,0,,To June 2024,8.32,8.1,Numerators and Denominators are not provided for Age Standardisation.
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Persons,,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),6.94,2,Deprivation quintile - Age Standardised,0,,To June 2024,7.23,7.08,Numerators and Denominators are not provided for Age Standardisation.
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Persons,,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),6.11,3,Deprivation quintile - Age Standardised,0,,To June 2024,6.36,6.23,Numerators and Denominators are not provided for Age Standardisation.
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Persons,,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),5.71,4,Deprivation quintile - Age Standardised,0,,To June 2024,5.92,5.81,Numerators and Denominators are not provided for Age Standardisation.
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Persons,,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),5.29,5 - least deprived,Deprivation quintile - Age Standardised,0,,To June 2024,5.49,5.39,Numerators and Denominators are not provided for Age Standardisation.
E54000055,NHS Birmingham and Solihull Integrated Care Board,Persons,1256685,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),5.48,Persons,Sex,0,69330,To June 2024,5.56,5.52,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Female,615305,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),4.38,Female,Sex,0,27295,To June 2024,4.49,4.44,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Male,641380,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),6.49,Male,Sex,0,42035,To June 2024,6.61,6.55,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Male,281795,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),0.2,18-39,Age group,0,620,To June 2024,0.24,0.22,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Female,264980,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),0.13,18-39,Age group,0,375,To June 2024,0.16,0.14,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Persons,546775,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),0.17,18-39,Age group,0,990,To June 2024,0.19,0.18,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Male,216550,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),3.87,40-59,Age group,0,8545,To June 2024,4.03,3.95,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Female,191425,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),1.97,40-59,Age group,0,3900,To June 2024,2.1,2.04,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Persons,407975,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),3,40-59,Age group,0,12445,To June 2024,3.1,3.05,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Male,117735,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),19.49,60-79,Age group,0,23215,To June 2024,19.95,19.72,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Female,122280,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),10.44,60-79,Age group,0,12980,To June 2024,10.79,10.61,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Persons,240015,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),14.94,60-79,Age group,0,36195,To June 2024,15.22,15.08,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Male,25300,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),37.57,80+,Age group,0,9655,To June 2024,38.76,38.16,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Female,36620,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),26.97,80+,Age group,0,10040,To June 2024,27.88,27.42,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Persons,61920,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),31.44,80+,Age group,0,19695,To June 2024,32.18,31.81,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Persons,581880,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),5.57,1 - most deprived,Deprivation quintile,0,32775,To June 2024,5.69,5.63,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Persons,227970,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),5.67,2,Deprivation quintile,0,13145,To June 2024,5.86,5.77,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Persons,154140,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),5.79,3,Deprivation quintile,0,9110,To June 2024,6.03,5.91,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Persons,79715,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),6.48,4,Deprivation quintile,0,5300,To June 2024,6.82,6.65,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Persons,103075,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),6.35,5 - least deprived,Deprivation quintile,0,6700,To June 2024,6.65,6.5,
E54000055,NHS Birmingham and Solihull Integrated Care Board,Female,,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),5.12,Female,Sex - Age Standardised,0,,To June 2024,5.25,5.19,Numerators and Denominators are not provided for Age Standardisation.
E54000055,NHS Birmingham and Solihull Integrated Care Board,Male,,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),8.96,Male,Sex - Age Standardised,0,,To June 2024,9.14,9.05,Numerators and Denominators are not provided for Age Standardisation.
E54000055,NHS Birmingham and Solihull Integrated Care Board,Persons,,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),6.99,Persons,Sex - Age Standardised,0,,To June 2024,7.09,7.04,Numerators and Denominators are not provided for Age Standardisation.
E54000055,NHS Birmingham and Solihull Integrated Care Board,Persons,,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),7.5,1 - most deprived,Deprivation quintile - Age Standardised,0,,To June 2024,7.67,7.58,Numerators and Denominators are not provided for Age Standardisation.
E54000055,NHS Birmingham and Solihull Integrated Care Board,Persons,,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),6.25,2,Deprivation quintile - Age Standardised,0,,To June 2024,6.46,6.35,Numerators and Denominators are not provided for Age Standardisation.
E54000055,NHS Birmingham and Solihull Integrated Care Board,Persons,,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),5.6,3,Deprivation quintile - Age Standardised,0,,To June 2024,5.84,5.72,Numerators and Denominators are not provided for Age Standardisation.
E54000055,NHS Birmingham and Solihull Integrated Care Board,Persons,,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),4.93,4,Deprivation quintile - Age Standardised,0,,To June 2024,5.21,5.06,Numerators and Denominators are not provided for Age Standardisation.
E54000055,NHS Birmingham and Solihull Integrated Care Board,Persons,,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),4.61,5 - least deprived,Deprivation quintile - Age Standardised,0,,To June 2024,4.84,4.72,Numerators and Denominators are not provided for Age Standardisation.
E54000062,NHS Black Country Integrated Care Board,Persons,1008140,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),7.14,Persons,Sex,0,72440,To June 2024,7.24,7.19,
E54000062,NHS Black Country Integrated Care Board,Female,503755,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),5.62,Female,Sex,0,28650,To June 2024,5.75,5.69,
E54000062,NHS Black Country Integrated Care Board,Male,504385,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),8.61,Male,Sex,0,43795,To June 2024,8.76,8.68,
E54000062,NHS Black Country Integrated Care Board,Male,198185,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),0.27,18-39,Age group,0,585,To June 2024,0.32,0.29,
E54000062,NHS Black Country Integrated Care Board,Female,191795,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),0.18,18-39,Age group,0,380,To June 2024,0.22,0.2,
E54000062,NHS Black Country Integrated Care Board,Persons,389975,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),0.23,18-39,Age group,0,965,To June 2024,0.26,0.25,
E54000062,NHS Black Country Integrated Care Board,Male,170040,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),4.79,40-59,Age group,0,8320,To June 2024,5,4.89,
E54000062,NHS Black Country Integrated Care Board,Female,160550,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),2.42,40-59,Age group,0,4000,To June 2024,2.57,2.49,
E54000062,NHS Black Country Integrated Care Board,Persons,330590,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),3.66,40-59,Age group,0,12320,To June 2024,3.79,3.73,
E54000062,NHS Black Country Integrated Care Board,Male,110995,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),22.09,60-79,Age group,0,24790,To June 2024,22.58,22.34,
E54000062,NHS Black Country Integrated Care Board,Female,115410,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),11.9,60-79,Age group,0,13955,To June 2024,12.28,12.09,
E54000062,NHS Black Country Integrated Care Board,Persons,226405,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),16.96,60-79,Age group,0,38745,To June 2024,17.27,17.11,
E54000062,NHS Black Country Integrated Care Board,Male,25170,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),39.51,80+,Age group,0,10095,To June 2024,40.72,40.12,
E54000062,NHS Black Country Integrated Care Board,Female,36000,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),28.18,80+,Age group,0,10315,To June 2024,29.12,28.65,
E54000062,NHS Black Country Integrated Care Board,Persons,61170,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),32.99,80+,Age group,0,20410,To June 2024,33.74,33.37,
E54000062,NHS Black Country Integrated Care Board,Persons,486315,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),6.79,1 - most deprived,Deprivation quintile,0,33380,To June 2024,6.94,6.86,
E54000062,NHS Black Country Integrated Care Board,Persons,199130,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),7.17,2,Deprivation quintile,0,14510,To June 2024,7.4,7.29,
E54000062,NHS Black Country Integrated Care Board,Persons,128745,,,CVDP001CVD,Prevalence of GP recorded cardiovascular disease (wide definition).,CVD: Prevalence (CVDP001CVD),7.66,3,Deprivation quintile,0,10045,To June 2024,7.95,7.8,
